"DT","SP"
2015-08-01,0
2015-09-01,0
2015-10-01,0
2015-11-01,0
2015-12-01,0
2016-01-01,0
2016-02-01,0
2016-03-01,0
2016-04-01,0
2016-05-01,0
2016-06-01,0
2016-07-01,0
2016-08-01,0.207080633558285
2016-09-01,0.431432429410085
2016-10-01,0.54840345183125
2016-11-01,0.937444364697455
2016-12-01,0.176521384844121
2017-01-01,0.11945012146682
2017-02-01,0
2017-03-01,0
2017-04-01,0
2017-05-01,0
2017-06-01,0
2017-07-01,0
2017-08-01,0
2017-09-01,0
2017-10-01,0
2017-11-01,0
2017-12-01,0
2018-01-01,0
2018-02-01,0
2018-03-01,0
2018-04-01,0
2018-05-01,0
2018-06-01,0
2018-07-01,0
2018-08-01,0
2018-09-01,0
2018-10-01,0
2018-11-01,0
2018-12-01,0
2019-01-01,0
2019-02-01,0
2019-03-01,0
2019-04-01,0.147145467735823
2019-05-01,0.0531466705314782
2019-06-01,0.020821886271539
2019-07-01,0.0280522230052646
2019-08-01,0.167907485038462
2019-09-01,0.331077700890191
2019-10-01,0.5891514074712
2019-11-01,0.614170760721189
2019-12-01,0.459157773507068
