"DT","SP"
2015-01-01,0
2015-02-01,0
2015-03-01,0
2015-04-01,0
2015-05-01,0
2015-06-01,0
2015-07-01,0
2015-08-01,0
2015-09-01,0
2015-10-01,0
2015-11-01,0
2015-12-01,0
2016-01-01,0
2016-02-01,0.0398427165235032
2016-03-01,0.187808675198657
2016-04-01,0.257658582274108
2016-05-01,0.0872304124596853
2016-06-01,0.0776049181074124
2016-07-01,0
2016-08-01,0.349060284876272
2016-09-01,0.23671191023594
2016-10-01,0.461542078108906
2016-11-01,0.770554981158243
2016-12-01,0.272443037162905
2017-01-01,0.218378241214896
2017-02-01,0.125929389946798
2017-03-01,0.0897907894763872
2017-04-01,0
2017-05-01,0
2017-06-01,0
2017-07-01,0.0644989904565561
2017-08-01,0.202769469135929
2017-09-01,0.383140477122548
2017-10-01,0
2017-11-01,0
2017-12-01,0
2018-01-01,0
2018-02-01,0
2018-03-01,0
2018-04-01,0
2018-05-01,0
2018-06-01,0
2018-07-01,0
2018-08-01,0
2018-09-01,0
2018-10-01,0
2018-11-01,0
2018-12-01,0
2019-01-01,0
2019-02-01,0
2019-03-01,0
2019-04-01,0
2019-05-01,0
2019-06-01,0
2019-07-01,0
2019-08-01,0
2019-09-01,0
2019-10-01,0.182423211479223
2019-11-01,0.151349308184877
2019-12-01,0.0217484849337724
