"DT","SP"
2015-05-01,0.15714973975839
2015-06-01,0.11339233586396
2015-07-01,0.20914598738508
2015-08-01,0
2015-09-01,0
2015-10-01,0
2015-11-01,0
2015-12-01,0
2016-01-01,0.0450676591510667
2016-02-01,0.19213795009285
2016-03-01,0.29026880945068
2016-04-01,0.340366279324484
2016-05-01,0.111905363706814
2016-06-01,0.0910688913484733
2016-07-01,0
2016-08-01,0.170885140879381
2016-09-01,0
2016-10-01,0.125162331699484
2016-11-01,0.359402926929148
2016-12-01,0
2017-01-01,0
2017-02-01,0
2017-03-01,0
2017-04-01,0
2017-05-01,0
2017-06-01,0
2017-07-01,0
2017-08-01,0
2017-09-01,0.429414604691006
2017-10-01,0.0718599033049979
2017-11-01,0
2017-12-01,0.0417011732668004
2018-01-01,0.0450676591510672
2018-02-01,0
2018-03-01,0
2018-04-01,0
2018-05-01,0
2018-06-01,0
2018-07-01,0
2018-08-01,0
2018-09-01,0
2018-10-01,0
2018-11-01,0
2018-12-01,0
2019-01-01,0
2019-02-01,0
2019-03-01,0
2019-04-01,0
2019-05-01,0
2019-06-01,0
2019-07-01,0
2019-08-01,0
2019-09-01,0
2019-10-01,0.168454714378482
2019-11-01,0.203457684386857
2019-12-01,0.0417011732668004
